TEAM,OWNERS,ABBREVIATION,TEAM,TEAM,TEAM,TEAM,TEAM,PF,PA,TEAM PPF,AVG BALL
Denver Dragons,(Amanda),DEN,170,200,170,240,240,1020,1160,204,23
Minnesota Mini-Muffins,(Blake),MIN,340,280,140,150,250,1160,1020,232,26
Trenton Tossers,(Bryan),TNT,210,230,150,190,230,1010,1020,202,22
Chicago Cats,(Ron),CHI,220,280,240,150,130,1020,1010,204,23
,,,,,,,,,,,
GAME 1,,,,,,,,,,,
TNT vs. CHI,TNT,CHI,,,,,,,,,
FRAME 1,210,220,,,,,,,,,
FRAME 2,230,280,,,,,,,,,
FRAME 3,150,240,,,,,,,,,
FRAME 4,190,150,,,,,,,,,
FRAME 5,230,130,,,,,,,,,
TOTAL,1010,1020,,,,,,,,,
,,,,,,,,,,,
DEN v. MIN,MIN,DEN,,,,,,,,,
FRAME 1,340,170,,,,,,,,,
FRAME 2,280,200,,,,,,,,,
FRAME 3,140,170,,,,,,,,,
FRAME 4,150,240,,,,,,,,,
FRAME 5,250,240,,,,,,,,,
TOTAL,1160,1020,,,,,,,,,