TEAM,OWNERS,ABBREVIATION,TEAM,TEAM,TEAM,TEAM,TEAM,TOTAL PTS
Denver Dragons,(Amanda),DEN,170,200,170,240,240,1020
Minnesota Mini-Muffins,(Blake),MIN,340,280,140,150,250,1160
Trenton Tossers,(Bryan),TNT,210,230,150,190,230,1010
Chicago Cats,(Ron),CHI,220,280,240,150,130,1020
,,,,,,,,
GAME 1,,,,,,,,
TNT vs. CHI,TNT,CHI,,,,,,
FRAME 1,210,220,,,,,,
FRAME 2,230,280,,,,,,
FRAME 3,150,240,,,,,,
FRAME 4,150,150,,,,,,
FRAME 5,230,130,,,,,,
TOTAL,970,1020,,,,,,
,,,,,,,,
DEN v. MIN,DEN,MIN,,,,,,
FRAME 1,340,170,,,,,,
FRAME 2,280,200,,,,,,
FRAME 3,140,170,,,,,,
FRAME 4,150,240,,,,,,
FRAME 5,250,240,,,,,,
TOTAL,1160,1020,,,,,,